username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,user_id,0.0,1.0,ratio,y_for,y_fact
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,36,40.0,12.0,0.2307692307692307,0.2177493726023043,0.1781694227047121
gzevqr,0,2023-11-24 13:39:34,2023-12-05 06:58:04,255,0,27,man,5,2,2.0,1.0,20.0,60.0,,60.0,0.0,1.0,0.0,,2,3,2,38,38,58.0,2.0,0.0333333333333333,0.2116129612086034,0.0857407366594344
nmxcvs,1,2023-11-24 13:42:14,2023-11-30 08:43:01,255,0,67,man,4,2,2.0,1.0,16.0,55.0,,55.0,2.0,1.0,0.0,,1,1,0,39,39,38.0,19.0,0.3333333333333333,0.2401863202918782,0.1766916384822808
vtihmn,0,2023-11-24 14:23:17,2023-12-20 11:43:15,255,0,25,man,4,3,2.0,1.0,6.0,64.0,,53.0,-2.0,0.0,-1.0,,2,2,1,45,45,56.0,9.0,0.1384615384615384,0.1913814237596918,0.133787314683235
iuxeei,1,2023-11-24 16:22:27,2023-11-30 05:26:51,255,0,40,man,2,2,-2.0,-1.0,22.0,82.0,,77.0,-1.0,1.0,-1.0,2.0,2,2,1,64,64,78.0,6.0,0.0714285714285714,0.1679891163129425,0.138864926633781
jldige,1,2023-11-24 16:23:48,2023-12-04 18:01:40,255,0,67,man,4,3,1.0,2.0,22.0,64.0,,68.0,2.0,1.0,3.0,6.0,3,3,3,71,71,58.0,8.0,0.1212121212121212,0.2187843976470969,0.1603698652779847
gbpvgw,0,2023-11-24 16:24:31,2023-12-01 19:59:38,255,0,57,vrouw,4,2,-1.0,0.0,20.0,51.0,,56.0,0.0,1.0,-2.0,,2,2,0,73,73,55.0,1.0,0.0178571428571428,0.2511519374268151,0.1769860277309064
ajvbvw,0,2023-11-24 16:26:13,2023-12-11 12:02:06,1,0,47,vrouw,4,3,,,16.0,31.0,,37.0,,,,,2,3,1,77,77,33.0,4.0,0.1081081081081081,0.2471760024928599,0.1304115053195228
wruxef,0,2023-11-24 16:26:53,2023-11-26 18:34:42,1,0,52,man,1,2,,,4.0,46.0,,46.0,,,,3.0,2,2,0,78,78,43.0,3.0,0.0652173913043478,0.2356467155318278,0.1246526656370444
obptcf,1,2023-11-24 16:27:24,2023-12-04 10:40:45,255,0,62,vrouw,4,3,-1.0,2.0,8.0,97.0,,98.0,0.0,1.0,0.0,1.0,3,2,-2,79,79,76.0,20.0,0.2083333333333333,0.256952429950232,0.1784228662206755
uifdas,1,2023-11-24 16:27:38,2023-11-30 11:51:57,255,0,35,vrouw,5,3,2.0,1.0,20.0,64.0,,57.0,1.0,1.0,1.0,5.0,3,3,1,80,80,59.0,3.0,0.0483870967741935,0.240490124228419,0.1604249597601608
nkkxhr,0,2023-11-24 16:27:43,2023-12-09 09:21:28,1,0,37,man,3,2,,,22.0,35.0,,43.0,,,,4.0,2,2,0,81,81,39.0,1.0,0.025,0.2471223294031533,0.1905451111579484
hlgyyx,1,2023-11-24 16:28:59,2023-12-04 18:39:49,255,0,34,vrouw,5,1,-1.0,0.0,24.0,47.0,,60.0,1.0,0.0,1.0,1.0,1,2,-1,84,84,41.0,18.0,0.3050847457627119,0.2536068323550254,0.1838784349039689
rcmdgt,0,2023-11-24 16:31:03,2023-11-30 11:06:34,255,0,39,vrouw,4,3,3.0,1.0,20.0,56.0,,57.0,-2.0,1.0,-1.0,2.0,3,3,3,86,86,41.0,14.0,0.2545454545454545,0.2132377721995052,0.1268998105498769
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,89,52.0,8.0,0.1333333333333333,0.2456600280136606,0.1739983399484601
mpmrve,0,2023-11-24 16:32:50,2023-12-03 12:34:24,255,0,37,vrouw,5,2,3.0,1.0,16.0,54.0,,56.0,-1.0,1.0,1.0,0.0,1,1,2,90,90,50.0,3.0,0.0566037735849056,0.2622269039074355,0.1976203175921224
efocwy,1,2023-11-24 16:34:19,2023-12-01 14:26:08,255,0,25,man,4,3,3.0,2.0,16.0,54.0,,55.0,0.0,1.0,2.0,0.0,3,2,0,95,95,18.0,35.0,0.660377358490566,0.2422327701168461,0.1706976510854529
