username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,news_id,user_id,rating,rating2,recommended,position,mystery,y_for,y_fact
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,405586,36,3.0,4.0,0,5,0.0,1.0,1.0
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,405862,36,4.0,2.5,0,4,0.0,1.0,1.0
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,405958,36,2.5,2.5,0,7,0.0,0.5,0.75
gbpvgw,0,2023-11-24 16:24:31,2023-12-01 19:59:38,255,0,57,vrouw,4,2,-1.0,0.0,20.0,51.0,,56.0,0.0,1.0,-2.0,,2,2,0,73,405958,73,1.0,0.5,0,8,0.0,0.5,0.75
lihmqp,0,2023-11-24 17:30:50,2023-12-03 10:16:29,255,0,53,vrouw,3,1,2.0,1.0,14.0,115.0,,100.0,-3.0,0.0,1.0,1.0,0,-1,0,147,405958,147,1.0,1.0,0,2,0.0,0.5,0.75
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,405569,36,1.5,1.5,0,4,0.0,1.0,1.0
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,406082,36,3.5,1.5,0,1,0.0,0.8571428571428571,0.8571428571428571
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,406169,36,2.5,2.0,0,7,0.0,1.0,1.0
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,406213,36,4.0,4.0,1,2,0.0,0.9142857142857144,0.8571428571428571
nmxcvs,1,2023-11-24 13:42:14,2023-11-30 08:43:01,255,0,67,man,4,2,2.0,1.0,16.0,55.0,,55.0,2.0,1.0,0.0,,1,1,0,39,406213,39,4.0,3.0,1,2,0.0,0.9142857142857144,0.8571428571428571
wruxef,0,2023-11-24 16:26:53,2023-11-26 18:34:42,1,0,52,man,1,2,,,4.0,46.0,,46.0,,,,3.0,2,2,0,78,406213,78,3.0,3.0,0,0,0.0,0.9142857142857144,0.8571428571428571
qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,36,406346,36,4.0,4.0,1,3,0.0,0.8181818181818182,0.9
iuxeei,1,2023-11-24 16:22:27,2023-11-30 05:26:51,255,0,40,man,2,2,-2.0,-1.0,22.0,82.0,,77.0,-1.0,1.0,-1.0,2.0,2,2,1,64,406346,64,3.0,1.5,1,0,0.0,0.8181818181818182,0.9
