id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
36,qkdneg,1,2023-11-24 13:32:35,2023-12-01 09:35:42,255,0,62,man,5,2,-2.0,1.0,22.0,48.0,,53.0,-2.0,1.0,-2.0,,2,2,2,7
38,gzevqr,0,2023-11-24 13:39:34,2023-12-05 06:58:04,255,0,27,man,5,2,2.0,1.0,20.0,60.0,,60.0,0.0,1.0,0.0,,2,3,2,7
39,nmxcvs,1,2023-11-24 13:42:14,2023-11-30 08:43:01,255,0,67,man,4,2,2.0,1.0,16.0,55.0,,55.0,2.0,1.0,0.0,,1,1,0,7
44,mgugvm,1,2023-11-24 14:20:57,2023-11-27 10:40:27,1,0,53,vrouw,3,0,,,8.0,22.0,,22.0,,,,,-3,0,-3,3
45,vtihmn,0,2023-11-24 14:23:17,2023-12-20 11:43:15,255,0,25,man,4,3,2.0,1.0,6.0,64.0,,53.0,-2.0,0.0,-1.0,,2,2,1,8
47,zmkoql,1,2023-11-24 14:27:44,2023-12-07 01:06:24,255,0,24,vrouw,4,2,1.0,1.0,24.0,46.0,,15.0,1.0,0.0,2.0,,2,2,2,1
48,heyhqe,1,2023-11-24 14:29:57,2023-12-05 00:25:42,255,0,46,man,4,2,2.0,2.0,22.0,50.0,,15.0,0.0,0.0,2.0,,2,1,1,1
49,cxegta,0,2023-11-24 14:32:07,2023-12-08 01:37:47,255,0,46,man,3,3,1.0,0.0,32.0,38.0,,15.0,2.0,0.0,1.0,,1,1,3,1
51,gywpja,1,2023-11-24 14:38:28,2023-12-04 00:13:30,255,0,42,vrouw,3,3,-1.0,2.0,26.0,50.0,,30.0,1.0,1.0,2.0,,3,1,0,2
52,cikawf,1,2023-11-24 14:40:21,2023-12-06 01:01:11,255,0,24,man,4,1,1.0,3.0,22.0,48.0,,20.0,1.0,0.0,0.0,,3,3,0,2
53,nxakyl,0,2023-11-24 14:41:31,2023-12-05 00:30:41,255,0,56,man,3,2,-1.0,1.0,20.0,52.0,,15.0,3.0,1.0,1.0,,2,3,1,1
54,krexah,0,2023-11-24 14:42:29,2023-12-06 01:15:15,255,0,35,vrouw,3,3,2.0,2.0,20.0,50.0,,43.0,1.0,0.0,1.0,,3,3,3,3
56,lfsxjd,1,2023-11-24 15:03:14,2023-12-06 01:51:11,255,0,33,man,3,2,1.0,1.0,22.0,48.0,,29.0,2.0,1.0,2.0,,1,1,0,3
57,poakzt,0,2023-11-24 15:04:15,2023-12-08 20:57:24,255,0,48,vrouw,4,2,2.0,2.0,30.0,40.0,,15.0,2.0,1.0,2.0,,2,2,1,1
58,sjqevt,0,2023-11-24 15:49:32,2023-12-08 01:35:54,255,0,25,vrouw,3,2,2.0,0.0,30.0,41.0,,17.0,0.0,1.0,1.0,,1,2,2,2
59,fujjuv,1,2023-11-24 15:50:25,2023-12-07 01:08:13,255,0,34,man,2,2,0.0,1.0,24.0,46.0,,15.0,1.0,0.0,0.0,,2,2,-1,1
60,vplnek,1,2023-11-24 16:18:50,2023-11-25 13:43:49,1,0,52,vrouw,5,2,,,4.0,14.0,,16.0,,,,,2,2,0,2
63,veicpq,1,2023-11-24 16:22:26,2023-11-26 12:38:56,1,0,20,vrouw,3,2,,,6.0,8.0,,8.0,,,,0.0,1,1,0,2
64,iuxeei,1,2023-11-24 16:22:27,2023-11-30 05:26:51,255,0,40,man,2,2,-2.0,-1.0,22.0,82.0,,77.0,-1.0,1.0,-1.0,2.0,2,2,1,7
